promise_id,category,promise_text,sector,sub_sector,quantifiable,target_value,timeline_mentioned,target_year,commitment_type
P1,ADMINISTRATION AND GOVERNANCE,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",Governance,Administration,No,,No,,Policy
P2,Public Service:,To fill up approved vacancies in all Government Departments with in one year.,Governance,Public Service,Yes,1 year,Yes,,Fill up approved vacancies
P3,Public Service:,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,Governance,Public Service,No,,No,,Extension
P4,Public Service:,To regularize the services of the presently working in source employees under,Governance,Public Service,No,,No,,Regularization
P5,Public Service:,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,Health,Health & Family Welfare Department,No,,No,,Imitation
P6,Public Service:,Giving due weightage to the contractual and guest faculties by brining suitable amendments to the recruitment rules.,Governance,Public Service,No,,No,,Policy/Regulatory
P7,Public Service:,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",Welfare,Public Service,Yes,"Rs. 15,000/-",No,,Increase monthly salary
P8,Public Service:,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",Welfare,Public Service,Yes,"Rs. 7,500 to Rs.10,000, Rs. 2 Lakhs",No,,Benefit
P9,Public Service:,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",Health,Public Service,Yes,"Rs. 5,000/- to Rs. 8,000/-",No,,Financial
P10,Public Service:,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",Welfare,Public Service,Yes,"Rs.6,000/-",No,,Increase
P11,Public Works:,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption.",Infrastructure,Public Works,No,,No,,Legislative
P12,Public Works:,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",Infrastructure,Public Works,Yes,90 days,Yes,,Time-bound
P13,Police,To increase recruitment of women in Police Force to 33% of the total strength with at least 1% reservation for Gender Minorities.,Governance,Police,Yes,33%,No,,Recruitment
P14,Police,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,Welfare,Police,Yes,Rs 5000,No,,Allowance
P15,Police,To provide housing to all the police personnel within five years.,Infrastructure,Housing,Yes,all police personnel,Yes,five years,Welfare
P16,Police,To establish a seed fund of Rs.200 crores to create infrastructure in Cyber Crimes and financial investigations.,Infrastructure,Cyber Crimes and financial investigations,Yes,Rs.200 crores,No,,Establishment of a seed fund
P17,LAW AND JUSTICE -- All are equal before law.,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,Infrastructure,Justice and Law,Yes,Rs 2000 crore,No,,Financial
P18,LAW AND JUSTICE -- All are equal before law.,To reduce registration fee concerning Gift & Will on landed property within the family .,Governance,Law and Justice,No,,No,,Policy
P19,LAW AND JUSTICE -- All are equal before law.,"The Congress Party is committed to take firm and decisive action against individuals and organisations spreading hatred amongst communities on grounds of caste or religion. We believe that law and Constitution is sacrosanct and can not be violated by individuals and Organisations like Bajrang Dal, PFI or others promoting enmity or hatred, whether among majority or minority communities. We will take decisive action as per law including imposing a ban on any such organisations. Regional and Rural Development",Governance,Law and Justice,No,,No,,Policy
P20,Regional and Rural Development,To set up high-speed WiFi hotspots in every Panchayath.,Infrastructure,Communication,Yes,every Panchayath,No,,Infrastructure Development
P21,Regional and Rural Development,"Mahatma Gandhi Gram Swaraj Scheme - To invest Rs. 50 thousand crores in five years to improve facilities in villages, to provide clean drinking water, sanitation, basic education, health and all weather roads.",Infrastructure,Regional and Rural Development,Yes,50 thousand crores,Yes,five years,Investment
P22,Urban Development,To extend Bengaluru's TenderSURE road model to cities with a population more than 10 Lakh.,Infrastructure,Urban Development,Yes,10 Lakh,No,,Extension of existing model
P23,Urban Development,"To take up construction of apartments with all facilities, regularise all slums, provide them title deeds and re name the slums as Shramika Vasathi Samuchhaya",Infrastructure,Urban Development,No,,No,,Policy
P24,Urban Development,"To amend Karnataka Apartment Ownership Act, 1972 to provide for conveyance of property and land to group of owners.",Infrastructure,Urban Development,No,,No,,Legislative
P25,Urban Development,To frame rules to double the FAR for buildings in II tier cities to enterprises which generate employment.,Infrastructure,Urban Development,Yes,double the FAR,No,,Policy/Regulation
P26,Agriculture and farming,"Krishi Sarvodaya Nidhi - To allocate Rs. 1.50 lakh crores in five years for modernization of agriculture, subsidy, loan and insurance.",Agriculture,Agriculture and farming,Yes,1.50 lakh crores,Yes,five years,Allocation
P27,Agriculture and farming,"Committed to AICC session held at Raipur the congress party would implement guarantees of MSP based on the report of Agricultural price fixation commission, in consultation with the farmers representatives to the Agricultural and Horticultural produce",Agriculture,Agriculture and farming,No,,No,,Policy
P28,Agriculture and farming,To increase interest free soft loans to the farmers from Rs. 3 lakhs to 10 lakhs and with minimum interest of 3% upto Rs. 15 lakhs and to reimburse the differential interest by Government.,Agriculture,Agriculture and farming,Yes,Increase interest free soft loans from Rs. 3 lakhs to 10 lakhs and with minimum interest of 3% upto Rs. 15 lakhs,No,,Increase
P29,Agriculture and farming,To promote Agro based village industries run by rural women by investing Rs.200 crores.,Agriculture,Agriculture and farming,Yes,Rs.200 crores,No,,Investment
P30,Agriculture and farming,To repeal the anti farmer laws enacted by BJP Government and to withdraw all politically motivated cases against farmers.,Agriculture,Agriculture and farming,No,,No,,Repeal and withdrawal
P31,Agriculture and farming,Savayava Saradaara Yojane to promote Organic farming investing Rs.2500 crores in five years.,Agriculture,Agriculture and farming,Yes,Rs.2500 crores,Yes,five years,Investment
P32,Agriculture and farming,"Anew development board ""Negila Tuditha"" with seed money of Rs.500 crores. to focus on landless agricultural labourers and tenant farmers.",Agriculture,Agriculture and farming,Yes,Rs.500 crores,No,,Infrastructure development
P33,Agriculture and farming,Jala Chethana Andolana - 100% subsidy to drip and sprinkler irrigation,Agriculture,Agriculture and farming,Yes,100%,No,,Subsidy
P34,Agriculture and farming,To reintroduce subsidy for installation of solar pump-sets with 75% of the cost as subsidy.,Energy,Agriculture and farming,Yes,75%,No,,Subsidy
P35,Agriculture and farming,To form self-help group for rural agriculturist women and provide Rs.3 lakhs interest free revolving loan.,Agriculture,Agriculture and farming,Yes,Rs.3 lakhs,No,,Loan
P36,Agriculture and farming,To create Prakruthi Vikopa Nidhi - a permanent fund - by creating an initial corpus fund of Rs.5000 crores.,Agriculture,Agriculture and farming,Yes,Rs.5000 crores,No,,Create a permanent fund
P37,Agriculture and farming,To offer reasonable compensation during drought and famine situations for the loss of agricultural produce. To postpone the recovery of distressed loans and waive complete interest,Agriculture,Agriculture and farming,No,,No,,Support
P38,Agriculture and farming,To provide possession certificates to the famers of Malnad.,Agriculture,Agriculture and farming,No,,No,,Promise
P39,Agriculture and farming,To establish an Agriculture Price Commission in each revenue division.,Agriculture,Agriculture and farming,No,,No,,Establishment
P40,Horticulture,Toassist the grape growers by providing subsidies - allotment of Rs.500 Crore.,Agriculture,Horticulture,Yes,Rs.500 Crore,No,,Subsidies
P41,Horticulture,"To provide special package for development of floriculture in Bengaluru, Ramanagara and Chikkaballapura by investing Rs.500 crores.",Agriculture,Horticulture,Yes,500 crores,No,,Investment
