promise_id,promise_text,category,evidence_googlenews,news_sources
A2,To fill up approved vacancies in all Government Departments with in one year.,Public Service:,"['Karnataka Police gears up to fill large vacancies over next two years - The Hindu. Karnataka Police gears up to fill large vacancies over next two years&nbsp;&nbsp;The Hindu', 'Vacancies at govt. departments in Kalyana Karnataka will be filled shortly: CM - The Hindu. Vacancies at govt. departments in Kalyana Karnataka will be filled shortly: CM&nbsp;&nbsp;The Hindu', 'Job-seekers take to the streets urging State govt. to fill vacancies - The Hindu. Job-seekers take to the streets urging State govt. to fill vacancies&nbsp;&nbsp;The Hindu', 'Karnataka has 2.84 lakh vacancies in 43 departments, maximum in six departments - The Hindu. Karnataka has 2.84 lakh vacancies in 43 departments, maximum in six departments&nbsp;&nbsp;The Hindu', 'Soaring expenditure threatens Karnataka CM’s plan to fill 35k vacancies - The Times of India. Soaring expenditure threatens Karnataka CM’s plan to fill 35k vacancies&nbsp;&nbsp;The Times of India', 'Karnataka must raise health spending, fill vacancies and expand facilities, says report on assessment of public health facilities - The Hindu. Karnataka must raise health spending, fill vacancies and expand facilities, says report on assessment of public health facilities&nbsp;&nbsp;The Hindu', 'Hiring on, yet 58% Karnataka depts have 50% vacancies - The Times of India. Hiring on, yet 58% Karnataka depts have 50% vacancies&nbsp;&nbsp;The Times of India', 'Signature campaign by All India Democratic Youth Organization demanding filling up of vacant government posts - The Hindu. Signature campaign by All India Democratic Youth Organization demanding filling up of vacant government posts&nbsp;&nbsp;The Hindu', 'Maharashtra CM approves recruitment of 5,012 assistant professors in non-government colleges - The Times of India. Maharashtra CM approves recruitment of 5,012 assistant professors in non-government colleges&nbsp;&nbsp;The Times of India', 'Govt to fill 56k new posts, job fairs to connect youth with employers: Min - The Times of India. Govt to fill 56k new posts, job fairs to connect youth with employers: Min&nbsp;&nbsp;The Times of India']","['The Hindu', 'The Hindu', 'The Hindu', 'The Hindu', 'The Times of India', 'The Hindu', 'The Times of India', 'The Hindu', 'The Times of India', 'The Times of India']"
A1,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",ADMINISTRATION AND GOVERNANCE,"['Karnataka to Publish Govt Drug Procurement Details Online for Transparency - Deccan Herald. Karnataka to Publish Govt Drug Procurement Details Online for Transparency&nbsp;&nbsp;Deccan Herald', 'Karnataka passes public procurement amendment bill to boost local body autonomy - India Today. Karnataka passes public procurement amendment bill to boost local body autonomy&nbsp;&nbsp;India Today', 'KPSC exam row: Govt to probe irregularities, assure fair recruitment system - The Indian Express. KPSC exam row: Govt to probe irregularities, assure fair recruitment system&nbsp;&nbsp;The Indian Express', 'Govt. committed to bring in transparency in every sector: Pralhad Joshi - The Hindu. Govt. committed to bring in transparency in every sector: Pralhad Joshi&nbsp;&nbsp;The Hindu', 'Internal quota finalised, govt kickstarts recruitment to 2.7 lakh posts - The Times of India. Internal quota finalised, govt kickstarts recruitment to 2.7 lakh posts&nbsp;&nbsp;The Times of India', 'TTD to launch e-procurement portal for Tirumala laddu ingredients - The Times of India. TTD to launch e-procurement portal for Tirumala laddu ingredients&nbsp;&nbsp;The Times of India', 'Governing AI with Trust, Scale and Responsibility - Elets Technomedia. Governing AI with Trust, Scale and Responsibility&nbsp;&nbsp;Elets Technomedia', 'Karnataka forms committee to develop ‘responsible AI’ policy | India News - Hindustan Times. Karnataka forms committee to develop ‘responsible AI’ policy | India News&nbsp;&nbsp;Hindustan Times', 'Karnataka govt sets up committee on Responsible AI - The Times of India. Karnataka govt sets up committee on Responsible AI&nbsp;&nbsp;The Times of India', 'Solar Agri Bulletin: 2025 budget special edition - International Institute for Sustainable Development. Solar Agri Bulletin: 2025 budget special edition&nbsp;&nbsp;International Institute for Sustainable Development']","['Deccan Herald', 'India Today', 'The Indian Express', 'The Hindu', 'The Times of India', 'The Times of India', 'Elets Technomedia', 'Hindustan Times', 'The Times of India', 'International Institute for Sustainable Development']"
A4,To regularize the services of the presently working in source employees under,Public Service:,"['Service of 9,000 co-workers in cleaning will also be regularised, says CM Siddaramaiah - The Hindu. Service of 9,000 co-workers in cleaning will also be regularised, says CM Siddaramaiah&nbsp;&nbsp;The Hindu', 'Pourakarmikas seek regularization of sanitation workers simultaneously - The Hindu. Pourakarmikas seek regularization of sanitation workers simultaneously&nbsp;&nbsp;The Hindu', 'Kerala govt decides to regularise 114 contractual employees at C-DIT - Onmanorama. Kerala govt decides to regularise 114 contractual employees at C-DIT&nbsp;&nbsp;Onmanorama', 'Anganwadi workers to lock centres, boycott work as part of mass protest on July 9 - The Hindu. Anganwadi workers to lock centres, boycott work as part of mass protest on July 9&nbsp;&nbsp;The Hindu', 'Karnataka High Court directs State government to give status report on implementation of Rights of Persons with Disabilities Act - The Hindu. Karnataka High Court directs State government to give status report on implementation of Rights of Persons with Disabilities Act&nbsp;&nbsp;The Hindu', 'Karnataka defers decision on water, power connections for buildings without completion and occupancy certificates - The Indian Express. Karnataka defers decision on water, power connections for buildings without completion and occupancy certificates&nbsp;&nbsp;The Indian Express', 'Hyderabad: First cabinet meet at new Secretariat - The Hans India. Hyderabad: First cabinet meet at new Secretariat&nbsp;&nbsp;The Hans India']","['The Hindu', 'The Hindu', 'Onmanorama', 'The Hindu', 'The Hindu', 'The Indian Express', 'The Hans India']"
A3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,Public Service:,"['Maharashtra cabinet nod for OPS to state employees who joined service after November 2005 - The Times of India. Maharashtra cabinet nod for OPS to state employees who joined service after November 2005&nbsp;&nbsp;The Times of India', 'Karnataka to implement old pension scheme for 13,000 govt employees who joined before April 2006 - The Indian Express. Karnataka to implement old pension scheme for 13,000 govt employees who joined before April 2006&nbsp;&nbsp;The Indian Express', 'Karnataka govt. issues notification bringing back about 11,300 employees to OPS - The Hindu. Karnataka govt. issues notification bringing back about 11,300 employees to OPS&nbsp;&nbsp;The Hindu', 'Karnataka team to visit Rajasthan to study old pension plan (OPS) implementation - The Times of India. Karnataka team to visit Rajasthan to study old pension plan (OPS) implementation&nbsp;&nbsp;The Times of India', 'Karnataka govt under pressure as employees want Old Pension Scheme restored - The Federal. Karnataka govt under pressure as employees want Old Pension Scheme restored&nbsp;&nbsp;The Federal', 'Kuvempu University staff demand Old Pension Scheme on par with State government employees - The Hindu. Kuvempu University staff demand Old Pension Scheme on par with State government employees&nbsp;&nbsp;The Hindu', 'Karnataka govt staffers want state to bring back Old Pension Scheme - The New Indian Express. Karnataka govt staffers want state to bring back Old Pension Scheme&nbsp;&nbsp;The New Indian Express', 'New contributory pension scheme not applicable to judicial officers: HC - The Hindu. New contributory pension scheme not applicable to judicial officers: HC&nbsp;&nbsp;The Hindu', 'Karnataka government awaits notification on guidelines to assess impact of proposed Unified Pension Scheme - The Hindu. Karnataka government awaits notification on guidelines to assess impact of proposed Unified Pension Scheme&nbsp;&nbsp;The Hindu', 'U-turn in Karnataka: BJP govt to form panel to study OPS revival - The Times of India. U-turn in Karnataka: BJP govt to form panel to study OPS revival&nbsp;&nbsp;The Times of India']","['The Times of India', 'The Indian Express', 'The Hindu', 'The Times of India', 'The Federal', 'The Hindu', 'The New Indian Express', 'The Hindu', 'The Hindu', 'The Times of India']"
A6,Giving due weightage to the contractual and guest faculties by brining suitable amendments to the recruitment rules.,Public Service:,"['In Tamil Nadu, despite UGC regulations and protests, guest faculty remains excluded, exploited - The Indian Express. In Tamil Nadu, despite UGC regulations and protests, guest faculty remains excluded, exploited&nbsp;&nbsp;The Indian Express', 'Guest lecturers of degree colleges urge State govt. not to remove lecturers with no UGC qualification - The Hindu. Guest lecturers of degree colleges urge State govt. not to remove lecturers with no UGC qualification&nbsp;&nbsp;The Hindu', 'HC upholds new recruitment rules for ITI jr instructor - The Times of India. HC upholds new recruitment rules for ITI jr instructor&nbsp;&nbsp;The Times of India', 'Job-seekers take to the streets urging State govt. to fill vacancies - The Hindu. Job-seekers take to the streets urging State govt. to fill vacancies&nbsp;&nbsp;The Hindu', 'Crippling shortage of staff in Karnataka Engineering colleges: Minister blames Finance department - The South First. Crippling shortage of staff in Karnataka Engineering colleges: Minister blames Finance department&nbsp;&nbsp;The South First', 'Karnataka academicians favour scrapping of 4-year degree programme - Education Times. Karnataka academicians favour scrapping of 4-year degree programme&nbsp;&nbsp;Education Times']","['The Indian Express', 'The Hindu', 'The Times of India', 'The Hindu', 'The South First', 'Education Times']"
A5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,Public Service:,"['Uttar Pradesh: Economy, Tourism, Industries & Development - IBEF. Uttar Pradesh: Economy, Tourism, Industries & Development&nbsp;&nbsp;IBEF', 'Let Congress extend Dalit Bandhu like scheme in States under its rule: Minister - The Hindu. Let Congress extend Dalit Bandhu like scheme in States under its rule: Minister&nbsp;&nbsp;The Hindu', 'Ministry of Finance Year Ender 2023: Department of Expenditure - PIB. Ministry of Finance Year Ender 2023: Department of Expenditure&nbsp;&nbsp;PIB', 'State-wise Healthcare Spending in India for 2025 - India Data Map. State-wise Healthcare Spending in India for 2025&nbsp;&nbsp;India Data Map', 'Top 10 companies for CSR in Healthcare in India 2023 - The CSR Journal. Top 10 companies for CSR in Healthcare in India 2023&nbsp;&nbsp;The CSR Journal', 'Top 100 Companies for CSR and Sustainability in 2024 - The CSR Journal. Top 100 Companies for CSR and Sustainability in 2024&nbsp;&nbsp;The CSR Journal']","['IBEF', 'The Hindu', 'PIB', 'India Data Map', 'The CSR Journal', 'The CSR Journal']"
A8,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",Public Service:,"['Modi govt increased honorarium of Anganwadi workers to Rs 4,500: Smriti Irani - The Indian Express. Modi govt increased honorarium of Anganwadi workers to Rs 4,500: Smriti Irani&nbsp;&nbsp;The Indian Express', ""Anganwadi workers' retirement benefits reinstated after years - The Times of India. Anganwadi workers' retirement benefits reinstated after years&nbsp;&nbsp;The Times of India"", 'Tamil Nadu CM announces hike in pension, retirement benefits for noon meal organisers, Anganwadi workers - Deccan Herald. Tamil Nadu CM announces hike in pension, retirement benefits for noon meal organisers, Anganwadi workers&nbsp;&nbsp;Deccan Herald', 'Anganwadi workers to now retire at 65 years - The Times of India. Anganwadi workers to now retire at 65 years&nbsp;&nbsp;The Times of India', 'Karnataka: Government Blinks, Huge win for Anganwadi Workers - newsclick.in. Karnataka: Government Blinks, Huge win for Anganwadi Workers&nbsp;&nbsp;newsclick.in', 'Anganwadi workers and helpers in Andhra Pradesh launch 36-hour protest over long-pending demands - The Hindu. Anganwadi workers and helpers in Andhra Pradesh launch 36-hour protest over long-pending demands&nbsp;&nbsp;The Hindu', '5G phones distributed to 58,204 Anganwadi workers - The Hans India. 5G phones distributed to 58,204 Anganwadi workers&nbsp;&nbsp;The Hans India', 'Anganwadi and midday meal workers to launch indefinite stir from Dec 1 - The Times of India. Anganwadi and midday meal workers to launch indefinite stir from Dec 1&nbsp;&nbsp;The Times of India', 'Why Karnataka Anganwadi workers want to return 64,340 mobiles to govt - The Federal. Why Karnataka Anganwadi workers want to return 64,340 mobiles to govt&nbsp;&nbsp;The Federal', 'Andhra Pradesh CM Y S Jagan Mohan Reddy credits Rs 285 crore to small businesses - The Times of India. Andhra Pradesh CM Y S Jagan Mohan Reddy credits Rs 285 crore to small businesses&nbsp;&nbsp;The Times of India']","['The Indian Express', 'The Times of India', 'Deccan Herald', 'The Times of India', 'newsclick.in', 'The Hindu', 'The Hans India', 'The Times of India', 'The Federal', 'The Times of India']"
A7,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",Public Service:,"['Anganwadi workers’ union demands gratuity for retired employees - The Hindu. Anganwadi workers’ union demands gratuity for retired employees&nbsp;&nbsp;The Hindu', ""Anganwadi workers' retirement benefits reinstated after years - The Times of India. Anganwadi workers' retirement benefits reinstated after years&nbsp;&nbsp;The Times of India"", 'Anganwadi workers to now retire at 65 years - The Times of India. Anganwadi workers to now retire at 65 years&nbsp;&nbsp;The Times of India', 'Bihar CM hikes stipend for anganwadi workers and helpers - The Hindu. Bihar CM hikes stipend for anganwadi workers and helpers&nbsp;&nbsp;The Hindu', 'Anganwadi workers call for stir in response to Budget - The Hindu. Anganwadi workers call for stir in response to Budget&nbsp;&nbsp;The Hindu', 'Anganwadi workers protest for wage hike, job recognition - Bangalore Mirror. Anganwadi workers protest for wage hike, job recognition&nbsp;&nbsp;Bangalore Mirror', 'State earmarks 20cr for retd anganwadi employees - The Times of India. State earmarks 20cr for retd anganwadi employees&nbsp;&nbsp;The Times of India', 'Anganwadi workers to stage indefinite strike from tomorrow - The Hindu. Anganwadi workers to stage indefinite strike from tomorrow&nbsp;&nbsp;The Hindu', 'Steps to address financial crunch of anganwadi welfare fund board: Minister - The Hindu. Steps to address financial crunch of anganwadi welfare fund board: Minister&nbsp;&nbsp;The Hindu', 'Anganwadi, ASHA workers stage protest to press for demands - The Hindu. Anganwadi, ASHA workers stage protest to press for demands&nbsp;&nbsp;The Hindu']","['The Hindu', 'The Times of India', 'The Times of India', 'The Hindu', 'The Hindu', 'Bangalore Mirror', 'The Times of India', 'The Hindu', 'The Hindu', 'The Hindu']"
A9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",Public Service:,"['Karnataka ASHA workers call off strike after CM announces Rs 10,000 monthly honorarium, incentives - The New Indian Express. Karnataka ASHA workers call off strike after CM announces Rs 10,000 monthly honorarium, incentives&nbsp;&nbsp;The New Indian Express', 'ASHA workers urge Karnataka government to keep its Rs 10,000-honorarium promise - The Times of India. ASHA workers urge Karnataka government to keep its Rs 10,000-honorarium promise&nbsp;&nbsp;The Times of India', 'ASHA workers demand govt action on honorarium and job security - The Times of India. ASHA workers demand govt action on honorarium and job security&nbsp;&nbsp;The Times of India', 'ASHA workers urge Centre to release pending hike, seek minimum wages of ₹28,000 - The Hindu. ASHA workers urge Centre to release pending hike, seek minimum wages of ₹28,000&nbsp;&nbsp;The Hindu', 'One year on, ASHA workers in Karnataka await promised honorarium; to strike again on February 12 - The Hindu. One year on, ASHA workers in Karnataka await promised honorarium; to strike again on February 12&nbsp;&nbsp;The Hindu', 'ASHA workers protest seeking honorarium hike and halt to retrenchment - The Hindu. ASHA workers protest seeking honorarium hike and halt to retrenchment&nbsp;&nbsp;The Hindu', 'ASHA workers call off strike after Karnataka govt agrees to raise honorarium - The News Minute. ASHA workers call off strike after Karnataka govt agrees to raise honorarium&nbsp;&nbsp;The News Minute', 'Mysuru ASHA workers seek hike in honorarium, meet Minister - The Hindu. Mysuru ASHA workers seek hike in honorarium, meet Minister&nbsp;&nbsp;The Hindu', 'ASHA workers hold massive protest in Belagavi, demand hike in honorarium - The Times of India. ASHA workers hold massive protest in Belagavi, demand hike in honorarium&nbsp;&nbsp;The Times of India', 'Why ASHA Workers should receive Fixed Salaries - healthcareexecutive.in. Why ASHA Workers should receive Fixed Salaries&nbsp;&nbsp;healthcareexecutive.in']","['The New Indian Express', 'The Times of India', 'The Times of India', 'The Hindu', 'The Hindu', 'The Hindu', 'The News Minute', 'The Hindu', 'The Times of India', 'healthcareexecutive.in']"
A10,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",Public Service:,"[""No hike in midday meal cooks' honorarium since 2009 in 10 states; workers gather at Jantar Mantar - EdexLive. No hike in midday meal cooks' honorarium since 2009 in 10 states; workers gather at Jantar Mantar&nbsp;&nbsp;EdexLive"", ""Midday meal cooks' pay stuck at 2009 level in 10 states/UTs - The Times of India. Midday meal cooks' pay stuck at 2009 level in 10 states/UTs&nbsp;&nbsp;The Times of India"", 'Most states and UTs suggested Centre to hike midday meal workers’ wages - The Indian Express. Most states and UTs suggested Centre to hike midday meal workers’ wages&nbsp;&nbsp;The Indian Express', 'Midday Meal Workers Protest In Bengaluru, Demand Minimum Wage And Benefits - ETV Bharat. Midday Meal Workers Protest In Bengaluru, Demand Minimum Wage And Benefits&nbsp;&nbsp;ETV Bharat', ""Transforming India's Nutrition With Mid-Day Meal (PM POSHAN) Scheme - IBEF. Transforming India's Nutrition With Mid-Day Meal (PM POSHAN) Scheme&nbsp;&nbsp;IBEF"", 'Concrete welfare measures continue to evade Anganwadis, ASHA and Mid-Day Meal workers - The Leaflet. Concrete welfare measures continue to evade Anganwadis, ASHA and Mid-Day Meal workers&nbsp;&nbsp;The Leaflet', ""It's too much work for too little pay, say Karnataka anganwadi workers cooking hot meals for mothers - Scroll.in. It's too much work for too little pay, say Karnataka anganwadi workers cooking hot meals for mothers&nbsp;&nbsp;Scroll.in"", ""K'taka Budget 2025: Rs 4 lac cr outlay with key allocations for Dakshina Kannada, Udupi - Daijiworld. K'taka Budget 2025: Rs 4 lac cr outlay with key allocations for Dakshina Kannada, Udupi&nbsp;&nbsp;Daijiworld"", 'Imposing a food culture - Frontline Magazine. Imposing a food culture&nbsp;&nbsp;Frontline Magazine', 'Overview of Karnataka Budget 2023-24 - NammaKPSC. Overview of Karnataka Budget 2023-24&nbsp;&nbsp;NammaKPSC']","['EdexLive', 'The Times of India', 'The Indian Express', 'ETV Bharat', 'IBEF', 'The Leaflet', 'Scroll.in', 'Daijiworld', 'Frontline Magazine', 'NammaKPSC']"
