promise_id,promise_text,verdict,confidence
P1,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",In Progress,0.5
P2,To fill up approved vacancies in all Government Departments with in one year.,Completed,0.6
P3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,Completed,0.67
P4,To regularize the services of the presently working in source employees under,Completed,0.4
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,Completed,0.5
P6,Giving due weightage to the contractual and guest faculties by brining suitable amendments to the recruitment rules.,In Progress,0
P7,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",In Progress,0.5
P8,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",Not Done,1
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",In Progress,0
P10,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",Not Done,1
P11,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption.",In Progress,0.5
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",Completed,0.5
P13,To increase recruitment of women in Police Force to 33% of the total strength with at least 1% reservation for Gender Minorities.,In Progress,0.5
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,In Progress,0.1
P15,To provide housing to all the police personnel within five years.,Completed,0.5
P16,To establish a seed fund of Rs.200 crores to create infrastructure in Cyber Crimes and financial investigations.,In Progress,1
P17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,Completed,0.7
P18,To reduce registration fee concerning Gift & Will on landed property within the family .,Completed,0.6
P19,"The Congress Party is committed to take firm and decisive action against individuals and organisations spreading hatred amongst communities on grounds of caste or religion. We believe that law and Constitution is sacrosanct and can not be violated by individuals and Organisations like Bajrang Dal, PFI or others promoting enmity or hatred, whether among majority or minority communities. We will take decisive action as per law including imposing a ban on any such organisations. Regional and Rural Development",Completed,0.5
P20,To set up high-speed WiFi hotspots in every Panchayath.,In Progress,0.5
P21,"Mahatma Gandhi Gram Swaraj Scheme - To invest Rs. 50 thousand crores in five years to improve facilities in villages, to provide clean drinking water, sanitation, basic education, health and all weather roads.",In Progress,0.5
P22,To extend Bengaluru's TenderSURE road model to cities with a population more than 10 Lakh.,In Progress,0.5
P23,"To take up construction of apartments with all facilities, regularise all slums, provide them title deeds and re name the slums as Shramika Vasathi Samuchhaya",In Progress,1
P24,"To amend Karnataka Apartment Ownership Act, 1972 to provide for conveyance of property and land to group of owners.",Completed,0.6
P25,To frame rules to double the FAR for buildings in II tier cities to enterprises which generate employment.,In Progress,0.5
P26,"Krishi Sarvodaya Nidhi - To allocate Rs. 1.50 lakh crores in five years for modernization of agriculture, subsidy, loan and insurance.",In Progress,0.5
P27,"Committed to AICC session held at Raipur the congress party would implement guarantees of MSP based on the report of Agricultural price fixation commission, in consultation with the farmers representatives to the Agricultural and Horticultural produce",In Progress,0
P28,To increase interest free soft loans to the farmers from Rs. 3 lakhs to 10 lakhs and with minimum interest of 3% upto Rs. 15 lakhs and to reimburse the differential interest by Government.,In Progress,0.5
P29,To promote Agro based village industries run by rural women by investing Rs.200 crores.,Completed,0.5
P30,To repeal the anti farmer laws enacted by BJP Government and to withdraw all politically motivated cases against farmers.,Completed,0.6
P31,Savayava Saradaara Yojane to promote Organic farming investing Rs.2500 crores in five years.,In Progress,0.5
P32,"Anew development board ""Negila Tuditha"" with seed money of Rs.500 crores. to focus on landless agricultural labourers and tenant farmers.",In Progress,1
P33,Jala Chethana Andolana - 100% subsidy to drip and sprinkler irrigation,Not Done,1
P34,To reintroduce subsidy for installation of solar pump-sets with 75% of the cost as subsidy.,In Progress,0
P35,To form self-help group for rural agriculturist women and provide Rs.3 lakhs interest free revolving loan.,Completed,0.67
P36,To create Prakruthi Vikopa Nidhi - a permanent fund - by creating an initial corpus fund of Rs.5000 crores.,In Progress,0.5
P37,To offer reasonable compensation during drought and famine situations for the loss of agricultural produce. To postpone the recovery of distressed loans and waive complete interest,In Progress,1
P38,To provide possession certificates to the famers of Malnad.,In Progress,0.5
P39,To establish an Agriculture Price Commission in each revenue division.,In Progress,0.3
P40,Toassist the grape growers by providing subsidies - allotment of Rs.500 Crore.,In Progress,0
P41,"To provide special package for development of floriculture in Bengaluru, Ramanagara and Chikkaballapura by investing Rs.500 crores.",In Progress,0
P42,To create a brand for Coffee in Karnataka.,In Progress,0.3
P43,"To create ""Sericulture Stability Revolving Fund"" with Rs.2000 Crores as initial deposit.",In Progress,0
P44,To provide Rs 3 lakh interest-free loans to all silk yarn reelers,In Progress,0.5
P45,To implement Ksheera Kranthi - Mission 1.5 Crore litres of milk production per day.,In Progress,1
P46,Pashu Bhagya - To give loans upto Rs.3 lakhs at zero interest to dairy farmers to purchase superior Cow/Buffalo breed.,In Progress,0.5
P47,"To establish Kurigahi Samvardhana Nidhi - Rs 1,000 Crore fund for sheep rearing.",In Progress,0
P48,Ksheeradhare — To increase the per litre milk subsidy for all dairy farmers from Rs.5 to Rs.7/-.,In Progress,0.5
P49,Ksheera Kranti Credit Cards — To provide all dairy farmers with Ksheera,In Progress,0.5
P50,"Kranthi Credit Cards with a credit limit of Rs.50,000.",In Progress,0.5
P51,Runamuktha Kurigahi Yojane: To waive the Loan upto Rs | lakh of all sheep and goat rearing farmers.,In Progress,0.5
P52,To purchase cow-dung @Rs.3/- per KG and establish compost/manure centers in villages involving rural women/Youth.,Completed,0.67
P53,To provide interest-free loans to women to buy 2 cows or buffalos.,In Progress,0.2
P54,"Matsyakranthi - to make projects to rise in five years Rs 12,000 Crore Blue",In Progress,0
P55,"""Matysa Sarvodaya Nidhi"" - To establish a Rs 5000 Crore fund to improve the fishing sector as a whole.",In Progress,0.5
P56,To provide interest-free loans of up to Rs 3 lakhs to fisherwomen.,Completed,0.4
P57,Matsya Bhagya — To provide 500 litres of tax-free diesel every year for deep sea fishing.,In Progress,0
P58,"To provide financial assistance of Rs 10,000 to all the Nadadoni fishermen",In Progress,0
P59,Matsya Mahithi Kendra - To establish a state-of-the-art satellite mapping centre at UDUPI.,In Progress,0
P60,To arrange dredging at the points of anchorages in the jetties/ports or places where the fishing boats are being anchored.,In Progress,0.5
P61,"""Matsya Ashraya Yojane"" - Ensure Housing to all economically disadvantaged fishermen.",In Progress,0.5
P62,"Mathsya Asha Kirana Yojane-—To provide Rs 6,000 to all the marine fishermen as alean period allowance during the fishing holiday.",In Progress,0
P63,To Spend Rs. 1.5 lakh crores for irrigation in the next 5 years (2023 to 2028).,In Progress,0.75
P64,To pursue— and complete them within five years and provide budgetary support,In Progress,0.2
P65,". New Projects : Project Cost - Mekedatu -Rs. 9,000 Cr, Mahadayi -Rs. 3,000 Cr",In Progress,0
P66,". Existing projects : Upper Bhadra, Upper Krishna , Yethinahole and Varahi",In Progress,0
P67,"BJP has failed to implement Mahadayi project denying 3.9 TMC of clean drinking water to over 50 lakh residents living across Belagavi, Hubli-Dharwaddistricts.",In Progress,0
P68,Action willbe taken to obtain necessary clearances from the Union Government,Completed,0.5
P69,100% of the Mahadayi water allocated to Karnataka will be utilised,In Progress,0
P70,Rs 500 crore will be allocated in the first cabinet meeting,Completed,0.5
P71,All the components of Mahadayi river diversion projects shall be completed in the next 5 years with a total outlay of Rs 3000 Cr,Completed,0.95
P72,"Priority will be given to drinking water, agriculture, and then to electricity generation",In Progress,0.2
P73,Congress will ensure responsible and secure rehabilitation of project affected families,In Progress,0.5
P74,Congress will adopt latest state-of-the-art technology for the construction of Kalasa and Banduri dams to undertake desilting of Thungabadra Dam on priority to ensure the 200 TMC of storage is not lost and additional area of agricultural area is brought under irrigation,In Progress,0
P75,"To provide Rs. 1000 crores for cleaning all important rivers in Karnataka (Kali, Bedthi, Krishna, Tungabhadra, Malaprabha, Bhima, Cauvery, Kabini, Shimsha, Arkavathi, Yagachi, Kumaradhara and Nethravathi Rivers) over a period of 5 years.",In Progress,0
P76,To Establish a Gold and Diamond Park of International Standard in Mangaluru ina secure zone with all amenities to attract tourism and trade on par with Dubai.,In Progress,0
P77,To develop the industrial infrastructure in the border areas of the state Talaped (Kerala) Nippani (Maharastra) Bidar (Maharastara / Telangana) Sarjapura (Tamilnadu) and Srinivasapura (Andrapradesh) established Border Industrial Development Board with the investment of rs. 5000 Crs in five years.,In Progress,0
P78,To provide start-up fund of Rs. 10 crores to each constituency.,Completed,0.6
P79,"To upgrade through Karnataka Industrial Area Development Board (KIADB) with all the facilities - Tech parks in Mysuru, Mangalore, and Hubli Dharwad with the prospect of creating one lakh employment under IT.",In Progress,0
P80,To reopen Brahmavar Vani Vilas Co-operative sugar factory.,In Progress,0
P81,To offer SGST concessions to 2 wheeler and 3 wheeler electric vehicles within urban limits as pollution free Green mobility solution.,In Progress,0.5
P82,To create a Jean Capital of India in Bellary to boost exports to expand employments opportunities by creating an Apparel park by investing Rs. 5000 Cr,In Progress,0
P83,"To create a Task Force to assist exporters in improving supply chains, market accessibility, and handholding for increasing exports.",In Progress,0.5
P84,To offer Start up subsidy upto Rs. 25 lakhs and soft loan upto Rs. One crore @,Completed,0.7
P85,"To set up a Welfare Fund worth Rs. 1,000 Crore to provide low-interest loans for small traders and shopkeepers to help revive key sectors of the local economy",In Progress,0.5
P86,To Reduce stamp duty to MSME for hypothecation and equitable mortgage for bank loans.,In Progress,0
P87,"To create a revolving fund of Rs. 5,000 crores for tourism development in the state.",In Progress,0.2
P88,To provide loans at 5% interest rate and taxi permit to 50 youth in each constituency.,In Progress,0
P89,To provide 6% interest subvention for loans up to Rs. 5 lakh for any infrastructural development by home-stay owners and to review the legal provisions. ,In Progress,1
P90,To give Industry Status to Hotels with more than 20 employees.,Completed,0.5
P91,To help small self - employed hotel / Bakery / Sweet Stall sector by offering loan up-to Rs 10 Lakhs with 6% interest,In Progress,0.5
P92,"To provide 200 units of free electricity to every house - ""GRUHAJYOTHI""",In Progress,0.3
P93,To Offer 25% subsidy upto Rs. 3 lakhs for installing solar appliances for domestic use.,In Progress,0.5
P94,To establish EV charging infrastructure and battery manufacturing units with 50% exemption in SGST and special subsidy,Completed,0.5
P95,"To encourage more mega Solar Parks, to produce additional generation of 5000 MW Power",Completed,0.5
P96,SHAKTI - Free travel to all women through out the state in regular KSRTC Busses,Completed,0.7
P97,To ensure that the strength of Electric Buses is increased sharply so that within 2 years 50% of the buses are Electricity operated.,In Progress,0
P98,To encourage E-vehicles - To make it compulsory to install E- Vehicle Charging points in apartments. Installation of E-Vehicle Charging points in all important junctions and Highways.,In Progress,0
P99,To increase the fleet strength of BMTC — to 10000 in five years.,In Progress,0.5
P100,To increase the KSRTC fleet — to 15000 Busses in five years,Not Done,1
P101,To launch arural minibus program in collaboration with public participation,In Progress,0.5
P102,To stop the mining Mafia and stop the loot of natural resources and make suitable changes to mining laws.,Not Done,1
P103,ANNABHAGYA 10 kgs of free rice supply per person,Completed,1
P104,Torejuvenate existing Indira Canteens and extend them throughout the state.,In Progress,0
P105,To fill up all the vacancies of teachers and staff in Government and aided Schools/Colleges within one year,In Progress,0.2
P106,Toregulate the fees in the schools and to reduce the fees of BPL Students.,In Progress,0
P107,"The BJP government has distorted the text books by insulting the great souls of Karnataka like Vishwa Guru Basavanna, Rastrakavi Kuvempu. The congress will restore the true values of Bharath and Karnataka and Scientific Temper in the text books to make the students evolved and complete.",In Progress,0
P108,To establish Karnataka State Educational Financial Corporation with a seed money of Rs.2000 Crores for the purpose of bringing all State Scholarships in respect of all the categories under one umbrella for speedy and quick disbursement.,In Progress,0.5
P109,To increase the income limit from Rs.3.5 lakhs to Rs.5 Lakhs under RTE Act for eligibility for admission to schools.,In Progress,0
P110, To upgrade 2500 Government Schools as smart schools in the state.,Completed,0.5
P111,"To bear the college fee of 10% of the government school students on merit who study 6-12th class in Karnataka and secure an MBBS/IIT/IIM/Engineering seat on passing competitive examinations, in any college in India.",In Progress,0
P112,To fill up vacancies of staffand doctors in all Government Hospitals.,In Progress,0.3
P113,"To establish along all the national highways, a fully equipped trauma centre in every 100 KMs.",In Progress,0
P114,To extend Rashtriya Swasthya Bhima Yojna and bring all the health schemes under one umbrella and extend it to gig workers.,In Progress,0.5
P115,"To ensure that everyone gets the medicine at a reasonable price, 10 Kasturba Aushadha Kendras in each Taluk.",In Progress,0
P116,"To establish one Jayadeva like Heart Hospital, Kidwai like Cancer Hospital and NIMHANS type Psychiatric Hospitals in each revenue Division.",In Progress,0.5
P117,Puneeth Rajkumar Heart Health Scheme To offer subsidy to Doctors/ Clinics/Nursing Home to buy DEFIBRILLATOR (AED).,Completed,0.67
P118,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years.",In Progress,0.3
P119,To waive offall Housing Loans under various Government Housing Schemes as a onetime measure.,In Progress,0.5
P120,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor,Completed,0.4
P121,"To increase the celing and reservation from 50% to 75% to accommodate the hopes and aspirations of SC/ST/OBC/Minority/ and other communities like Lingayat and Vokkliggas. The Congress party committed to increase reservation for SC’s from 15% to 17%, for ST’s 3% to 7%, and restore minority reservation 4% and increase reservations Lingayat’s, Vokkaliggas’s and other communities and to pursue for inclusion in the 9th Schedule of the Constitution.",In Progress,0
P122,To release the Socio-Economic caste censes conducted by the congress government and accord social justice accordingly,In Progress,0
P123,To present the report of Justice Sadashiva Commission in the first session of the Legislative Assembly and Legislative Council and the Congress Party will strive to get justice to all the sub-groups and urge the Union Government to accept it.,In Progress,0
P124,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs,Completed,0.7
P125,"To provide every year, subsidy and loan with 3% interest to 25,000 youth of SC/ST communities under Airavata Scheme, for purchase of Taxi, Goods, Vehicle, three wheelers, four wheelers and other vehicles for selfemployment.",In Progress,0
P126,To take action to fill all the backlog vacancies within one year.,Completed,0.6
P127,"To set up Rs. 1000 Crore revolving fund - ""Dr Bhimrao Ramji Ambedkar Entrepreneurship Fund"" - for organizing entrepreneurship development and incubation programs for SC entrepreneurs.",In Progress,0
P128,"To create a new ""Smt. Savitri Bai Pule Education Scheme to give Monthly incentives of Rs.150/- for students from | st Std. to Sth Standard, Rs.300/- for 6th to 10 std. students to be given. The incentive to be transferred to the Bank account of the mother of the student.",In Progress,0
P129,"To open Literature, cultural and Arts academy under Kannada and Culture department for 46 castes of SC and ST, Nomedic and Semi-nomedic and OBC Category-I",In Progress,0
P130,"To identify youths belonging to Pambada, Nalike, Parava and Kudbi of Dakshina Kannada and Udupi districts and to ensure 100% housing and also to train boys and girls for jobs.",In Progress,0
P131,To increase the insurance maturity amount given under the Bhagya Lakshmi scheme Rs.3 Lakhs to SC/ST families.,In Progress,0
P132,To establish 100 Aranya Kendras in tribal areas to help and guide them in primary processing and value additions for their produce.,In Progress,0
P133,To construct 50 new Ekalavya residential schools in the next five years,In Progress,0.5
P134,To send 100 people from the leather based traditional artisans abroad for better training.,In Progress,0
P135,"To setup Rs 5000 crore revolving fund ""Socio-economic welfare Fund"" for the overall welfare of OBC communities involved in sculpting, pottery, weaving and other traditional occupations.",In Progress,0
P136,"To establish Brahmashri Narayana Guru Development Corporation with annual budget of Rs. 500 Cr, a total of Rs. 2500 Cr in 5 years",In Progress,0
P137,"To establish Micro Backward Comminutes Development Corporation with annual budget of Rs. 500 Cr, a total of Rs. 2500 Crin 5 years",In Progress,0
P138,"To constitute Development Corporations for the welfare of Tigala, Madiwala,Savitha, Uppara, Balija and Alemari Budakatu communities and provide dedicated budget",In Progress,0
P139,To increase the grants to all development Corporations and Boards.,Completed,0.5
P140,"To provide collateral-free loans up to 10 lakhs at 3% interest to 50,000 OBC entrepreneurs.",In Progress,0
P141,"To provide scholarships every year to 1000 SC/ST/OBC students, who secure PG seat at foreign universities.",Completed,0.5
P142,"To enhance monthly fellowships from Rs.5,000 to Rs 10,000 for backward class students enrolled to PhD in state universities.",Completed,0.62
P143,To establish Tigala Development Board.,In Progress,0.25
P144,"The most backward communities are under Category-I. 12% of the population is under this category. As per the report of the Havanur Commission, 58 of the castes have the character of tribals. Nomadic and semi-nomadic castes are also under this category. The castes under this category have got abysmal share in Education, Employment and Industry. Earlier, these castes were getting the benefits available to the SC/STs. A comprehensive plan for their total
development will be envisaged.",In Progress,0
P145,"To give special focus to the development of listed marginal communities and to establish Alemari Budakattu Board for this purpose with Rs. 1,000 crores.",In Progress,0
P146,"To provide Rs. 30,000 per annum to weavers with spinning wheels to modernize their looms.",In Progress,0
P147,To offer Rs.2000 Every month to each and every women head of the family GRUHA LAKSHMI project,Completed,0.5
P148,"To support 5,000 women entrepreneurs every year for entrepreneurial development.",Completed,0.7
P149,To increase allocation of funds to Stree Shakthi Sanghas.,In Progress,0
P150,"To nurture 5000 Stree Shakti micro-enterprises over 5 years and to encourage them to take up 21st century needs like food processing, catering, mobile canteens, solid waste management, parking management.",In Progress,0
P151,"To provide Rs.50 lakhs grant to the Grama Panchayaths which elect women as the Chairperson, over looking specific reservations",In Progress,0.5
P152,"To provide 50% subsidy on buying electric scooters to frontline health workers namely ANM, Anganwadi and ASHA workers.",In Progress,0
P153,"The Congress Party is committed to the welfare of all citizens and groups, including minorities, as per the Constitution of India. Accordingly, the allocation of funds for the minority welfare — Muslim, Christian, Jain, Buddhists and others, would be increased to Rs. 10,000 Cr",In Progress,0.5
P154,To allot Rs.15 crores to start Kashmiri Culture Centre Allotting one time grant of Rs.25 crore and annual grant of Rs. One crore from the Department of Kannada Culture,In Progress,0
P155,Toestablish a Mangalamukhi Welfare Board by allotting Rs.200 crores annually.,In Progress,0
P156,To provide Self-employment grants for taking up small business to all Gender Minorities upto Rs.2 lakhs.,In Progress,0.5
P157,"To regularise all 25,000 Pourakarmikas with all the relevant facilities.",In Progress,0
P158,Recruitment of additional Pourakarmikas.,Completed,0.8
P159,To offer Hazardous pay and insurance cover of Rs. 10 Lakh to each,Completed,0.8
P160,To set up Auto Drivers' Board and Taxi Drivers' Welfare Board funding with Rs. 50 Crs to each and encouragement for self-employment.,In Progress,0
P161,"To develop dedicated hawker zones in all district HQs and to provide one-time financial assistance of Rs. 20,000 to street vendors to set up their shops in these zones. ",In Progress,0
P162,"To establish a Gig Workers' Welfare Board with allotment of Rs.3,000 Crs as seed money for revolving fund.",In Progress,0
P163,"Tocreate Sharavana Kumara Senior citizens welfare fund - Rs.1,000 Crore.",In Progress,0
P164,To offer free Pilgrimage to one of the 15 holy places of Karnataka and one of the 10 holy places of India once in two years.,Completed,0.6
P165,"To increase the one-time subsidy provided to senior citizens from Karnataka for pilgrimages to Kashi, Mathura and Kailash Mansarovar Yatra. ",In Progress,0.5
P166,To provide Rs.3 lakhs interest free loan to take up self-employment to the diabled women.,In Progress,0.3
P167,"To create a Rs 50 Crore ""Vidhya Deepa Nidhi"" disabled youth scholarship fund to ensure access to higher education both in India and abroad.",In Progress,0
P168,To provide free bus pass and to one accompanying person.,Completed,0.5
P169,"To Set up Karnataka Institute of Speech and Hearing, similar to the All India Institute of Speech and Hearing in all revenue divisions of Karnataka. ",In Progress,0.1
P170,"To establish ""Field Marshal General Kariappa Ex-servicemen Development Board with Rs.500 Crores revolving fund to provide financial assistance to ex- servicemen to upto Rs.10 lakhs @ 5% interest to start self- employment/entrepreneurship.",In Progress,0
P171,Topush forONE RANK ONE PENSION for Ex-Servicemen,In Progress,0
P172,"To make special scheme for providing land, house and site to ex-servicemen and to exempt from House Tax, Water Tax and upto Rs.2,000 Electricity Bill for their own residences.",In Progress,0.5
P173,Establishment ofa a Journalist Welfare Fund with seed money of Rs.500 Crores.,In Progress,0
P174,"To assist establishing Advocate Bhavans in Corporation, cities and District Headquarters.",In Progress,0
P175,To Create a separate Ministry to take care of the affairs of NRI Kannadigas.,Completed,1
P176,To help in setting up industries and those permanently relocating by creating revolving fund of Rs.1000 Crs. ,In Progress,0
P177,To maintain a database of youth who are unable to secure a job within 180 days of college graduation. To provide an 'Unemployment Allowance' of Rs. 3000 per month to all registered graduates and Rs.1500/- to Diploma holders - YUVANIDHI,In Progress,0.5
P178,To establish Bharatha Ratna CNR Fund with 500 crores corpus for basic scientific research for youth.,In Progress,0
P179,To provide free bus passes and train tickets to the candidates taking up competitive examinations.,In Progress,0.75
P180,To ensure 80% in jobs in Karnataka to local people in both Public and Private,Completed,0.5
P181,To Constitute a Youth Commission to facilitate the overall development of youth,In Progress,0.5
P182,To allot Rs.2000 crores per year for sports.,Completed,0.6
P183,"To start an exclusive Sports University in Mysuru and make Karnataka a World-Class sports hub. And, to build an International Sports Complex in Mysuru exclusively for traditional sports.",In Progress,0.5
P184,"To identify 1,000 budding Sports talents every year from across the state and provide them financial assistance. ",Completed,0.5
P185,"To develop Kuppalli, the birth place of Rastra Kavi Kuvempu a nature tourist center make special project of Rs. 100 Crs.",In Progress,0
P186,"To encourage and develop Kannada Language, literature, education and culture in 63 Taluks in Border areas and in 6 adjoining states where there are large number of Kannadigas, annual allotment of Rs.200 crores.",In Progress,0
P187,"To start ""Kuvempu Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each.",In Progress,0
P188,To set up the Aluru Venkata Rao Fund of Rs 100 Crore to promote Kannada in the digital space.,In Progress,0
P189,To release Rs.100 crores to establish- Basavapatha - the institution for Social Inclusion and Religious Ethics - in Kudalasangama.,In Progress,0
P190,To build a state-of-the-art museum and theme park dedicated to Veera Madakari Nayaka in Chitradurga.,In Progress,0
P191,"To create a Rs 500 Crore ""Thayi Bhuvaneshwari Monuments Fund"" to ensure the proper maintenance of all ASI sites in Karnataka.",In Progress,0
P192,"To revive and develop Bhuvanagiri in Siddapur taluk as a tourist destination with aRs 10 Crore grant, as it is the only place in the state where a temple is dedicated to Kannada Mathe Bhuvaneshwari Devi.",In Progress,0
P193,To bring out all Mahakavyas of Kannada Literture in digital form in the Gamaka format.,In Progress,0
P194,To make special projects to study of Samskrith Literature - Adi Shankaracharya Adhyayana Yojane,In Progress,0
P195,"To aid and strengthen minority languages like Pali, Prakrit, Tulu, Konkani, Kodava, Byari, and Urdu.",Not Done,1
P196,To establish Yakshagana Pradhikara with Rs. 25 Crs annual grants.,In Progress,0
P197,"To evolve a scheme to provide economic security to the artists of Yakshagana, Kambala, drama, music Dhaivaradhana work and other forms of arts.",In Progress,0
P198,To create a freedom memorial and theme park at Belgavi to commemorate the 1924 Congress Session- [the session presided over by Mahatma Gandhil.,In Progress,0.25
P199,To Set up Festival Authority of Karnataka.,Completed,0.7
P200,"To set up the Shivaram Karantha Literature Fund of Rs. 100 Crore to encourage Kannada writing, both poetry and prose, among students of classes 8-12.",In Progress,0
P201,"To give a cash prize of Rs 10,000 to students who score 100% in Kannada in their 10th exam in the name of Rashtra Kavi Manjeshwara Govinda Pai.",In Progress,0
P202,"To publish a book on Karnataka's history and it's culture called ""Hemmeya Beedu Namma Karunadu"" and make it a non-test subject in all UG courses.",In Progress,0
P203,"To provide Rupees one lakh annual grant to people pursuing PhDs in Kannada literature and a Rs. 25,000 annual grant to people pursuing PG in Kannada literature under ""Da Ra Bendre Kannada Bhasha Adhyayana Puraskara Nidhi""",In Progress,0
P204,"To double the amount of money awarded to poets and authors under the Rajyotsava Award, Pampa Award, Kannada Sahitya Academy awards etc. limiting the number of awardees.",In Progress,0
P205,"To start ""Nrupatunga Kannada Sahithya Puraskara Abhiyana"" to promote 500 young poets and authors in the state by giving them financial assistance of Rs 25,000 to each.",In Progress,0
P206,"To establish in various universities, Kanakadasa Dasa Sahithya Adhyayana Peetha, Sarvagna Tripadi Sahithya Adhyayana Peeta, Basavanna Vachana Sahithya, Adhyayana Peeta, D V Gundappa Navodhaya sahithya Adhyayana Peeta, Pampa Hale Kannada sahithya Adhayayana Peeta, Kumaravyasa Nadukannada Sahithya Adhyayana Peeta, by providing necessary funds.",In Progress,0
P207,To increase funding to Hampi Kannada University to encourage the holistic research on Kannada literature.,In Progress,0
P208,"To create a dedicated fund of Rs 100 Crore ""Shasana samshodhana mattu samrakshana Nidhi"" - for the restoration, renovation, and promotion of research on inscriptions.",In Progress,0
P209,To set up Rs 500 Crore revolving fund - Subbiah Naidu Kalabhivruddhi Nidhi - for the revival of ethnic art forms and folk sports.,In Progress,0
P210,"To organize a Mega cultural festival called ""Karnataka Arunodaya Samavesha"" in every assembly constituency to promote local folk arts and music.",In Progress,0
P211,To set up Rs 30 Crore “C Ashwath Music Fellowship Fund” to honour young lyricists and singers.,In Progress,0
P212,"To provide Rs 10,000 honorarium per month to all senior folk artists and performing artists under ""Gangu Bai Hanagal”",In Progress,0
P213,To take suitable actions to get the Tulu language declared as Adhikritha Bhashe and to upgrade Tulu Sahitya Academy as Tulu Bhasha Abhivriddhi Pradhikara.,In Progress,0
P214,To provide Rs. 1 crore grant for the development of the unique Kodava Culture.,In Progress,0.5
P215,"Karnataka has around 1,80,000 temples, of which only 35,500 temples come under the Muzrai department. These temples are neglected by the Muzarai Department. Separate special Pooja Nidhi to be established.",In Progress,0
P216,To increase monthly grants to Muzarai temples.,Completed,0.8
P217,"To set up a “Dharmika Nidhi,” fund of Rs 1,000Crore, for the restoration and renovation of minor temples and Mathas across the state.",In Progress,0
P218,"To provide Rs 5,000 honorarium per month to all senior priests [above 60 years of age] of temples, mosques, churches, and other religious institutions after they reach the age of sixty, “Archaka Gowrava Nidhi Scheme.",In Progress,0
P219,"To increase the allowances to Rs.5,000/- per month for meeting the expenditure on Poojadravya and honorarium for small rural temples, and to bring temples of gramadevatas under the purview of Muzarai.",In Progress,0
P220,"To provide a grant of up to Rs.20,000 to all Grama Devathe and Theru Habba Festivals celebrated at the village level.",In Progress,0
