promise_id,promise_text,verdict,confidence,p_completed,p_in_progress,p_not_done
P1,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",Uncertain,0.5,0.249,0.502,0.249
P3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,Completed,0.85,0.848,0.127,0.026
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,In Progress,0.84,0.042,0.844,0.114
P6,Giving due weightage to the contractual and guest faculties by brining suitable amendments to the recruitment rules.,In Progress,0.0,0.0,1.0,0.0
P4,To regularize the services of the presently working in source employees under,Completed,0.67,0.665,0.09,0.245
P7,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",Not Done,0.55,0.202,0.247,0.55
P10,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",Completed,0.55,0.55,0.247,0.202
P2,To fill up approved vacancies in all Government Departments with in one year.,In Progress,0.59,0.049,0.592,0.359
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",Completed,0.71,0.705,0.259,0.035
P8,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",Uncertain,0.5,0.249,0.502,0.249
P11,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption.",Uncertain,0.5,0.249,0.502,0.249
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",In Progress,0.94,0.028,0.943,0.028
P16,To establish a seed fund of Rs.200 crores to create infrastructure in Cyber Crimes and financial investigations.,Uncertain,0.5,0.249,0.502,0.249
P13,To increase recruitment of women in Police Force to 33% of the total strength with at least 1% reservation for Gender Minorities.,Not Done,0.55,0.202,0.247,0.55
P15,To provide housing to all the police personnel within five years.,In Progress,0.84,0.114,0.844,0.042
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,Not Done,0.71,0.035,0.259,0.705
P20,To set up high-speed WiFi hotspots in every Panchayath.,In Progress,0.8,0.098,0.803,0.098
