atomic_promise_id,source_promise_id,category,clean_promise
A1,P1,ADMINISTRATION AND GOVERNANCE,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable."
A2,P2,Public Service:,To fill up approved vacancies in all Government Departments with in one year.
A3,P3,Public Service:,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006
A4,P4,Public Service:,To regularize the services of the presently working in source employees under
A5,P5,Public Service:,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh
A6,P6,Public Service:,Giving due weightage to the contractual and guest faculties by brining suitable amendments to the recruitment rules.
A7,P7,Public Service:,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement"
A8,P8,Public Service:,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement"
A9,P9,Public Service:,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-"
A10,P10,Public Service:,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-"
A11,P11,Public Works:,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption."
A12,P12,Public Works:,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement."
A13,P13,Police,To increase recruitment of women in Police Force to 33% of the total strength with at least 1% reservation for Gender Minorities.
A14,P14,Police,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.
A15,P15,Police,To provide housing to all the police personnel within five years.
A16,P16,Police,To establish a seed fund of Rs.200 crores to create infrastructure in Cyber Crimes and financial investigations.
A17,P17,LAW AND JUSTICE -- All are equal before law.,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.
A18,P18,LAW AND JUSTICE -- All are equal before law.,To reduce registration fee concerning Gift & Will on landed property within the family .
A19,P19,LAW AND JUSTICE -- All are equal before law.,"The Congress Party is committed to take firm and decisive action against individuals and organisations spreading hatred amongst communities on grounds of caste or religion. We believe that law and Constitution is sacrosanct and can not be violated by individuals and Organisations like Bajrang Dal, PFI or others promoting enmity or hatred, whether among majority or minority communities. We will take decisive action as per law including imposing a ban on any such organisations. Regional and Rural Development"
A20,P20,Regional and Rural Development,To set up high-speed WiFi hotspots in every Panchayath.
A21,P21,Regional and Rural Development,"Mahatma Gandhi Gram Swaraj Scheme - To invest Rs. 50 thousand crores in five years to improve facilities in villages, to provide clean drinking water, sanitation, basic education, health and all weather roads."
A22,P22,Urban Development,To extend Bengaluru's TenderSURE road model to cities with a population more than 10 Lakh.
A23,P23,Urban Development,"To take up construction of apartments with all facilities, regularise all slums, provide them title deeds and re name the slums as Shramika Vasathi Samuchhaya"
A24,P24,Urban Development,"To amend Karnataka Apartment Ownership Act, 1972 to provide for conveyance of property and land to group of owners."
A25,P25,Urban Development,To frame rules to double the FAR for buildings in II tier cities to enterprises which generate employment.
A26,P26,Agriculture and farming,"Krishi Sarvodaya Nidhi - To allocate Rs. 1.50 lakh crores in five years for modernization of agriculture, subsidy, loan and insurance."
A27,P27,Agriculture and farming,"Committed to AICC session held at Raipur the congress party would implement guarantees of MSP based on the report of Agricultural price fixation commission, in consultation with the farmers representatives to the Agricultural and Horticultural produce"
A28,P28,Agriculture and farming,To increase interest free soft loans to the farmers from Rs. 3 lakhs to 10 lakhs and with minimum interest of 3% upto Rs. 15 lakhs and to reimburse the differential interest by Government.
A29,P29,Agriculture and farming,To promote Agro based village industries run by rural women by investing Rs.200 crores.
