promise_id,promise_text,category,prs_evidences_acts,prs_evidences_bills
P1,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",ADMINISTRATION AND GOVERNANCE,"[""Provide for the Board's accountability and transparency"", 'Empower the Authority to enter into agreements and contracts', ""Establish a fund for the development authority's operations and projects"", 'Empower the Board to enter into agreements with other organizations', 'Specify the areas to be developed by the authority']","['Repeal the Karnataka Transparency in Public Procurements (Amendment) Ordinance, 2023', 'Authorize Agricultural Produce Marketing Committees to undertake procurement operations', 'Specify the allocation of procurement of goods and services to Scheduled Castes, Scheduled Tribes, and Backward Classes', 'Amend the Karnataka Transparency in Public Procurements Act, 1999 to give effect to proposals made in the Budget Speech for the year 2025-2026', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores']"
P2,To fill up approved vacancies in all Government Departments with in one year.,Public Service:,"['Establish the Legal Cell in each Secretariat Department', 'Provide for the appointment of officers and employees of the Authority', 'Appoint the Chairman, Commissioner, Secretary, and other employees of the Authority', 'Provide for the appointment of officers and employees of the Board', 'Provide for financial allocation in the State Plan to the Board']","['Insert priority for filling rural vacancies', 'Restrict counseling and mandatory posting of doctors in existing vacancies as specified by the State Government', 'Mandate priority for rural area vacancies in compulsory service', 'Require State Government approval for Registrar and Deputy Registrar appointments', 'Establish Registrar and Deputy Registrar positions with 3-year terms']"
P3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,Public Service:,"['Specify the conditions of service of employees', 'Provide for the appointment of officers and employees of the Authority', 'Establish the Provident or Pension Fund', 'Provide for the appointment of officers and employees of the Board', 'Establish the Provident or Pension Fund for employees of the University']","['Exempt surplus candidates from compulsory service', 'Establish a transfer policy for Medical Officers and other staff in public interest, considering factors like service tenure and area priority', 'Authorize federal societies to manage employee appointments and transfers', 'Provide protection for public servants acting in good faith', 'Enhance minimum tenure of police officers in operational duties from one year to two years']"
P4,To regularize the services of the presently working in source employees under,Public Service:,"['Specify the conditions of service of employees', 'Provide for the appointment of officers and employees of the Authority', 'Provide for the appointment of officers and employees of the Board', 'Establish a system for the maintenance of funds', 'Provide for the maintenance of funds and accounts of the University']","['Establish a committee to examine and declare that goods or services are available from a single source', 'Authorize federal societies to manage employee appointments and transfers', 'Specify the term of office and conditions of services for non-official members', 'Constitute a common cadre of employees for co-operative societies', 'Specify contribution structure for employees, employers, and State Government']"
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,Public Service:,"['Empower the Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board to make rules', 'Establish Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board', 'Establish the District Level Committee and the State Level Monitoring Committee', 'Establish the District Level committee and the State Level Monitoring Committee', 'Increase landholdings of Scheduled Castes and Scheduled Tribes to address social and educational backwardness']","['Add the Deputy Chief Minister and the Minister for Tribal Welfare as Ex-officio Members to the State Council', 'Appoint the Minister for Tribal Welfare as Vice-Chairman of the Nodal Agency', 'Protect the interests of Scheduled Castes and provide Social Justice and prevention of exploitation', ""Establish a Karnataka State Motor Transport and Other Allied Workers' Social Security and Welfare Board"", 'Eliminate inequalities in status, facilities, and opportunities among Scheduled Castes']"
P6,Giving due weightage to the contractual and guest faculties by brining suitable amendments to the recruitment rules.,Public Service:,"['Specify the conditions of service of employees', 'Establish the Regulations and Rules for the Authority', 'Establish the regulations and rules for the Authority', ""Specify the rules and regulations governing the Authority's operations"", ""Specify the Authority's members and their roles""]","['Specify the Common Cadre and Recruitment Rules for the Greater Bengaluru Authority and City Corporations', 'Specify conditions for appointment and continuation of Committee of Management members', 'Prescribe allowances and conditions for Board members', 'Establish a Disciplinary Committee', 'Establish a registration and grievance redressal authority']"
P7,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",Public Service:,"['Create a fund for welfare and rehabilitation of motor transport and allied workers', 'Increase landholdings of Scheduled Castes and Scheduled Tribes to address social and educational backwardness', 'Provide reservations for Kannadigas in education and employment', 'Increase reservation percentage for Scheduled Castes to 17% and for Scheduled Tribes to 7%', 'Establish the Provident or Pension Fund']","['Increase tax rate for salary or wage earners with monthly income above Rs. 25,000', ""Increase employer's contribution to Labour Welfare fund"", 'Increase maximum fine to five lakh rupees', 'Increase maximum settlement amount to three lakh rupees', 'Increase salary of Chief Minister and Ministers']"
P8,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",Public Service:,"['Provide social security benefits to motor transport and allied workers', 'Create a fund for welfare and rehabilitation of motor transport and allied workers', 'Establish the Provident or Pension Fund', 'Provide reservations for Kannadigas in education and employment', 'Establish the Provident or Pension Fund for employees of the University']","['Establish a scheme for the social security and welfare of motor transport and other allied workers', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum', 'Protect the interests of Scheduled Castes and provide Social Justice and prevention of exploitation', 'Increase tax rate for salary or wage earners with monthly income above Rs. 25,000']"
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",Public Service:,"['Provide for the appointment of officers and employees of the Authority', 'Provide for the appointment of officers and employees of the Board', 'Specify the conditions of service of employees', 'Provide reservations for Kannadigas in education and employment', 'Implement social security and other benefits for platform based Gig workers']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes', 'Extend 17% reservation in Public sector employment and Educational Institutions to Scheduled Castes']"
P10,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",Public Service:,"['Specify user charges for amenities and services in Special Investment Regions', 'Specify examination authorities and centers', 'Provide for the appointment of officers and employees of the Authority', 'Increase reservation percentage for Scheduled Castes to 17% and for Scheduled Tribes to 7%', 'Establish procedures for the conduct of business and meetings of the Authority']","['Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Increase maximum fine to five lakh rupees', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum', 'Revise tax structure for salary or wage earners with monthly income above Rs. 25,000', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes']"
P11,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption.",Public Works:,"['Create a machinery with investigating powers to supervise the implementation of the Act', 'Establish designated courts for trial of corruption and unfair means offenses', 'Empower the Authority to enter into agreements and contracts', 'Establish Shree Huligemma Devi Kshetra Development Authority', 'Rationalise and simplify existing laws and regulations']","['Empower State Government to make rules regarding tender procedures', 'Repeal the Karnataka Transparency in Public Procurements (Amendment) Ordinance, 2023', 'Replace the Karnataka Transparency in Public Procurements (Amendment) Ordinance, 2023 with this Bill', 'Amend the Karnataka Transparency in Public Procurements Act, 1999 to give effect to proposals made in the Budget Speech for the year 2025-2026', 'Establish designated courts for trial of corruption and unfair means in public examinations']"
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",Public Works:,"['Authorize the Authority to enter into agreements and contracts', 'Empower the Authority to enter into agreements and contracts', 'Authorize the Authority to enter into contracts and sue in its name', 'Establish dispute settlement mechanism for grievances and disputes', 'Specify the conditions of service of employees']","['Grant permission for construction works after ensuring tank capacity', 'Specify procedure for non-compliance of court orders', 'Specify the percentage of construction works to be tendered among Scheduled Castes and Scheduled Tribes', 'Modify return submission deadline to the tenth day of the succeeding month', 'Grant the Authority the power to contract and sue']"
P13,To increase recruitment of women in Police Force to 33% of the total strength with at least 1% reservation for Gender Minorities.,Police,"['Increase reservation percentage for Scheduled Castes to 17% and for Scheduled Tribes to 7%', 'Designate Enforcement Officers to ensure compliance with the Act', 'Provide for the appointment of officers and employees of the Board', 'Provide for the appointment of officers and employees of the Authority', 'Establish the District Level Committee and State Level Committee']","['Extend 17% reservation in Public sector employment and Educational Institutions to Scheduled Castes', 'Introduce reservations for women and Schedule Caste/Schedule Tribe members in co-operative society boards', 'Increase minimum number of members required for certain co-operative societies', 'Empower the Karnataka State Commission for the Scheduled Castes and the Scheduled Tribes to modify reservation percentages for Scheduled Castes', 'Enhance minimum tenure of police officers in operational duties from one year to two years']"
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,Police,"['Provide for the appointment of officers and employees of the Authority', 'Provide for the appointment of officers and employees of the Board', 'Designate Enforcement Officers to ensure compliance with the Act', 'Establish the Fund of the Authority', 'Establish the Directorate of Enforcement of Official Language']","['Exempt certain police officers from minimum tenure', 'Enhance minimum tenure of police officers in operational duties from one year to two years', 'Increase penalty fine from Rs. 2,000 to Rs. 1 lakh', 'Increase maximum fine to five lakh rupees', 'Grant State Government discretion to determine salary and allowances for Secretary and other officers']"
P15,To provide housing to all the police personnel within five years.,Police,"['Provide for the appointment of officers and employees of the Authority', 'Provide for the appointment of officers and employees of the Board', 'Designate Enforcement Officers to ensure compliance with the Act', ""Provide for the audit and accounting of the Authority's finances"", 'Specify the functions and duties of the Authority']","['Enhance minimum tenure of police officers in operational duties from one year to two years', 'Exempt certain police officers from minimum tenure', 'Remove compounding of offences for repeat offenders within three years', 'Specify circumstances for transferring police officers before minimum tenure', 'Provide for the protection of human rights']"
P16,To establish a seed fund of Rs.200 crores to create infrastructure in Cyber Crimes and financial investigations.,Police,"['Establish the Fund of the Authority', 'Create a fund for the development of the area', 'Establish a fund for the Authority and grant powers to raise finances and borrow', ""Establish a fund for the development authority's operations and projects"", 'Establish a permanent statutory endowment fund']","['Establish the Fund of the Authority', 'Create a fund for the Authority', 'Establish a fund for the Authority and specify its management', 'Increase the threshold for procurement of goods and services from Rs.1.00 crore to Rs.2.00 crores', 'Establish a recurring expenditure of Rupees twelve lakhs seventy two thousand per annum']"
P17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,LAW AND JUSTICE -- All are equal before law.,"['Establish the Fund of the Authority', 'Establish a permanent statutory endowment fund', 'Create a fund for the development of the area', 'Specify the Fund of the Authority', 'Provide for financial allocation in the State Plan to the Board']","['Establish the Fund of the Authority', 'Create a fund for the Authority', 'Mandate 4% of government construction works under Rs. 1 crore to be tendered among backward castes', 'Mandate 17.15% of government construction works under Rs. 1 crore to be tendered among Scheduled Castes', 'Mandate 6.95% of government construction works under Rs. 1 crore to be tendered among Scheduled Tribes']"
P18,To reduce registration fee concerning Gift & Will on landed property within the family .,LAW AND JUSTICE -- All are equal before law.,"['Prescribe the form and documents required for registration', 'Regulate cancellation of registered documents', 'Refuse registration of forged documents and other prohibited documents', 'Authorize the Authority to acquire land and assets', 'Authorize the Board to collect fees and charges for its services']","['Exempt certain persons from obtaining registration', 'Integrate property software to prevent illegal registration', 'Integrate property softwares to prevent illegal registration of properties', 'Provide for proper registration of joint family rights in the mutation register', 'Empower the Registering Authority to suspend or cancel the registration of money lenders']"
P19,"The Congress Party is committed to take firm and decisive action against individuals and organisations spreading hatred amongst communities on grounds of caste or religion. We believe that law and Constitution is sacrosanct and can not be violated by individuals and Organisations like Bajrang Dal, PFI or others promoting enmity or hatred, whether among majority or minority communities. We will take decisive action as per law including imposing a ban on any such organisations. Regional and Rural Development",LAW AND JUSTICE -- All are equal before law.,"['Specify the definition of a Community in relation to a Caste Panchayat', 'Empower the Karnataka government to take action against violence against advocates', 'Establish the Karnataka Prohibition of Violence Against Advocates Act, 2023', 'Constitute the Authority with a Chairman and Members', 'Establish a grievance redressal mechanism for the Authority']","['Amend the Karnataka State Commission for the Scheduled Castes and the Scheduled Tribes Act, 2002', 'Empower the Karnataka State Commission for the Scheduled Castes and the Scheduled Tribes to modify reservation percentages for Scheduled Castes', 'Authorize law enforcement to take preventive action against hate crimes', 'Establish a law to prevent hate speech and hate crimes', 'Amend the Karnataka Gram Swaraj and Panchayat Raj Act, 1993']"
P20,To set up high-speed WiFi hotspots in every Panchayath.,Regional and Rural Development,"['Specify the definition of a Community in relation to a Caste Panchayat', 'Create a fund for the development of the area', 'Establish the Bengaluru Metropolitan Land Transport Authority', 'Establish Karnataka Motor Transport and Other Allied Workers Social Security and Welfare Board', 'Establish Shree Chamundeshwari Kshetra Development Authority']","['Establish a commission for Panchayat Raj delimitation', 'Amend the Karnataka Gram Swaraj and Panchayat Raj Act, 1993', 'Remove the Minister for Rural Development and Panchayat Raj from the State Council', 'Delimit Zilla Panchayat constituencies based on geographical considerations', 'Replace the Karnataka Gram Swaraj and Panchayat Raj (Amendment) Ordinance, 2023 with this Bill']"
