promise_id,promise_text,category,evidence_googlenews,evidence_govwebsites
P3,To Sympathetically consider extension of OPS to the pensionable government employees who joined service since 2006,Public Service:,[],[]
P1,"To make all activities connected with procurements, developmental and infrastructural activities and recruitments transparent and accountable.",ADMINISTRATION AND GOVERNANCE,"[""Gender equality and women's empowerment - Welcome to the United Nations"", 'AI-powered success—with more than 1,000 stories of customer transformation and innovation - Microsoft', 'Trump Promises $1,776 ‘Warrior Dividend’ for Troops—Here’s What Service Members Need to Know - Military.com']",[]
P4,To regularize the services of the presently working in source employees under,Public Service:,"['AI-powered success—with more than 1,000 stories of customer transformation and innovation - Microsoft', 'Conditioning our unstructured data for AI at Microsoft - Microsoft', 'RCAP Jurisdictional assessments: regulatory implementation consistency - Bank for International Settlements']",[]
P2,To fill up approved vacancies in all Government Departments with in one year.,Public Service:,[],[]
P6,Giving due weightage to the contractual and guest faculties by brining suitable amendments to the recruitment rules.,Public Service:,"[""Here's where Trump's promises stand a year into his second term - WCVB""]",[]
P5,Health & Family Welfare Department on the lines of the actions being taken by the Congress Governments of Rajasthan and Himachalhal Pradesh,Public Service:,"[""Video | PM Modi's Welfare Push: Free Foodgrains To ₹5 Lakh Health Cover Promised - NDTV"", 'NHA Concludes Two-Day Chintan Shivir on AB PM-JAY and ABDM in Pune; Focus on Innovation, Digital Health and Cooperative Governance - PIB', 'Help save 2 million lives: close the vaccine funding gap - Nature']",[]
P9,"To provide ASHA workers with a fixed monthly honorarium of Rs. 5,000/- to Rs. 8,000/-",Public Service:,['25 Common Nursing Home Problems—& How to Resolve Them - Justice in Aging'],[]
P7,"To give benefits to Increase monthly salary of Anganwadi Workers from to Rs. 11,500 to Rs. 15,000/ - and retirement benefit of Rs. 3 Lakhs on premature death or retirement",Public Service:,"['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'How Shark Tank India changed startup funding in tier 2-3 cities - YourStory.com', 'Nagaland State Sambad Lottery Result Today, 19-04-2026 LIVE: Dear 1PM Tuesday Weekly Lucky Draw For Rs 1 Crore - Goodreturns', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'RLWRLD Raises $26M Seed 2, Bringing Total Funding to $41M to Scale Industrial Robotics AI - GlobeNewswire']",[]
P10,"Toenhance honorarium to Midday Meal Cooks from Rs.3,600 to Rs.6,000/-",Public Service:,"['Trump Promises $1,776 ‘Warrior Dividend’ for Troops—Here’s What Service Members Need to Know - Military.com', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR', 'Delhi Metro Phase 4 upcoming projects, stations list, latest updates - Housing', ""What time is NASA's Artemis 2 moon mission launch today? Full schedule - Space""]",[]
P8,"To give benefits to Mini Anganwadi workers from to Rs. 7,500 to Rs.10,000 and retirement benefit of Rs. 2 Lakhs on premature death or retirement",Public Service:,"['Pension For Noon Meal, Anganwadi & Panchayats Workers Raised - Deccan Chronicle', 'Anganwadi workers stage dharna, seek Rs 18K monthly pay, retirement assistance - The New Indian Express', 'TN govt enhances pension, retirement benefits for nutrition and Anganwadi workers - Social News XYZ', 'Govt hikes anganwadi workers’ remuneration - The Times of India', 'Anganwadi workers, helpers entitled to gratuity payment: SC - SabrangIndia', 'Benefits of insurance under PMJJBY , PMSBY to Anganwadi, Mini Anganwadi workers - Department Of Public Relations,M.P.']",[]
P12,"To ensure that the works begin within 90 days of the issue of the work order, get the work completed within the time specified in the contract and settle the bills of the contractors within the time-frame of contractual agreement.",Public Works:,"['California Mandates Important New Rules for Private Construction Projects - Jones Day', 'Summary of Landmark Judgments on Government Contracts and Tenders by the Supreme Court in 2024 (Part I of II) - SCC Online', 'India’s Labour Reforms: Simplification, Security, and Sustainable Growth - PIB', 'A new approach for the world’s climate strategy | Bill Gates - gatesnotes.com']",[]
P13,To increase recruitment of women in Police Force to 33% of the total strength with at least 1% reservation for Gender Minorities.,Police,['VA Secretary Doug Collins addresses Veterans’ benefits in new video - VA News (.gov)'],[]
P11,"To abolish corruption in public works and to create a transparent tender systems in PWD, Rural Development, Irrigation, Urban Development and Power sector by enacting a special law to punish the perpetrators of corruption.",Public Works:,"['UK Anti-Corruption Strategy: What does it mean for business? - Transparency International UK', 'How to Build a Successful Anti-Corruption and Whistleblower Program - The National Law Review', 'Rogue insiders and dirty money targeted in corruption crackdown - GOV.UK', ""Dalilah's Law Is Moving Through Congress - Here Is Everything That Is Actually In It, Everything That Was Promised But Is Not, and the Parts Nobody Is Talking About - FreightWaves"", 'Declaration on the Rights of Indigenous Peoples Act - B.C. government']",[]
P14,To provide special allowance of Rs 5000 per month to police officials on night duty and one month's extra pay per year.,Police,"['Odisha CM Announces Additional Salary, Allowances, New Benefits for Havildars, Constables, and Sepoys at - The Times of India', 'Cong. promises investment of ₹1.5 lakh crore over five years to complete irrigation projects - The Hindu', 'Karnataka: Congress releases manifesto, promises action against Bajrang Dal, PFI - Deccan Chronicle', 'Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP - The Hindu']",[]
P17,To set up a dedicated fund of Rs 2000 crore to modernise all the existing courts of the state.,LAW AND JUSTICE -- All are equal before law.,"['Karnataka Budget 2025: Key takeaways - Deccan Herald', ""Union Budget 2026: Full text of Nirmala Sitharaman's speech; download PDF - The Times of India"", 'Union Budget 2026-27, Highlights and Economic Impact - IBEF']",[]
P19,"The Congress Party is committed to take firm and decisive action against individuals and organisations spreading hatred amongst communities on grounds of caste or religion. We believe that law and Constitution is sacrosanct and can not be violated by individuals and Organisations like Bajrang Dal, PFI or others promoting enmity or hatred, whether among majority or minority communities. We will take decisive action as per law including imposing a ban on any such organisations. Regional and Rural Development",LAW AND JUSTICE -- All are equal before law.,"['Karnataka polls: Bajrang Dal stages protest against Congress manifesto to ban organisation - ANI News', 'Karnataka polls: Congress to ban Bajrang Dal, PFI if voted to power - The New Indian Express', 'K\'taka polls: ""Will ban...,"" Cong cites Bajrang Dal, PFI in manifesto - DT Next']",[]
P15,To provide housing to all the police personnel within five years.,Police,"['DSWD-6 eyes implementation of 3 social protection programs - Philippine News Agency', 'Union Budget’s Rs 5,000 crore City Economic Regions plan to boost real estate beyond metros - Moneycontrol.com']",[]
P21,"Mahatma Gandhi Gram Swaraj Scheme - To invest Rs. 50 thousand crores in five years to improve facilities in villages, to provide clean drinking water, sanitation, basic education, health and all weather roads.",Regional and Rural Development,['Press Note Details: Press Information Bureau - PIB'],[]
P20,To set up high-speed WiFi hotspots in every Panchayath.,Regional and Rural Development,"['The 18 social media trends to shape your 2026 strategy - Hootsuite Blog', 'A new approach for the world’s climate strategy | Bill Gates - gatesnotes.com', 'AI-powered success—with more than 1,000 stories of customer transformation and innovation - Microsoft', 'Artificial Intelligence | Pros, Cons, Debate, Arguments, Computer Science, & Technology - Britannica']",[]
P23,"To take up construction of apartments with all facilities, regularise all slums, provide them title deeds and re name the slums as Shramika Vasathi Samuchhaya",Urban Development,[],[]
P16,To establish a seed fund of Rs.200 crores to create infrastructure in Cyber Crimes and financial investigations.,Police,"['Encampment Resolution Funding Program, Round 2 - California Grants Portal (.gov)', 'South Sudan: Funding gaps threaten nearly 2 million displaced people - UN News', 'The state of AI in 2025: Agents, innovation, and transformation - McKinsey & Company', 'RBI postpones implementation of new rules on capital market exposure by 3 months - News On AIR']",[]
